"symbol","div_or_split","record_date","payment_date","amount","description"
"A","dividend","2020-10-06 00:00:00","2020-10-28 00:00:00",0.18,"Ordinary Shares"
"A","dividend","2021-01-05 00:00:00","2021-01-27 00:00:00",0.194,"Ordinary Shares"
"A","dividend","2021-04-06 00:00:00","2021-04-28 00:00:00",0.194,"Ordinary Shares"
"A","dividend","2021-07-06 00:00:00","2021-07-28 00:00:00",0.194,"Ordinary Shares"
"A","dividend","2022-01-04 00:00:00","2022-01-26 00:00:00",0.21,"Ordinary Shares"
"A","dividend","2022-04-05 00:00:00","2022-04-27 00:00:00",0.21,"Ordinary Shares"
"A","dividend","2022-07-05 00:00:00","2022-07-27 00:00:00",0.21,"Ordinary Shares"
"AA","dividend","2021-10-29 00:00:00","2021-11-19 00:00:00",0.1,"Ordinary Shares"
"AA","dividend","2022-03-08 00:00:00","2022-03-24 00:00:00",0.1,"Ordinary Shares"
"AA","dividend","2022-05-17 00:00:00","2022-06-03 00:00:00",0.1,"Ordinary Shares"
"AAP","dividend","2020-06-13 00:00:00","2020-07-03 00:00:00",0.25,"Ordinary Shares"
"AAP","dividend","2020-09-18 00:00:00","2020-10-02 00:00:00",0.25,"Ordinary Shares"
"AAP","dividend","2020-12-18 00:00:00","2021-01-04 00:00:00",0.25,"Ordinary Shares"
"AAP","dividend","2021-06-18 00:00:00","2021-07-02 00:00:00",1.0,"Ordinary Shares"
"AAP","dividend","2021-09-17 00:00:00","2021-10-01 00:00:00",1.0,"Ordinary Shares"
"AAP","dividend","2021-12-17 00:00:00","2022-01-03 00:00:00",1.0,"Ordinary Shares"
"AAP","dividend","2022-03-18 00:00:00","2022-04-01 00:00:00",1.5,"Ordinary Shares"
"AAP","dividend","2022-06-17 00:00:00","2022-07-01 00:00:00",1.5,"Ordinary Shares"
"AAPL","dividend","2020-05-11 00:00:00","2020-05-14 00:00:00",0.82,"Ordinary Shares"
"AAPL","dividend","2020-08-10 00:00:00","2020-08-13 00:00:00",0.82,"Ordinary Shares"
"AAPL","split","2020-08-24 00:00:00","2020-08-31 00:00:00",0.25,"4-for-1 split"
"AAPL","dividend","2020-11-09 00:00:00","2020-11-12 00:00:00",0.205,"Ordinary Shares"
"AAPL","dividend","2021-05-10 00:00:00","2021-05-13 00:00:00",0.22,"Ordinary Shares"
"AAPL","dividend","2021-08-09 00:00:00","2021-08-12 00:00:00",0.22,"Ordinary Shares"
"AAPL","dividend","2021-11-08 00:00:00","2021-11-11 00:00:00",0.22,"Ordinary Shares"
"AAPL","dividend","2022-02-07 00:00:00","2022-02-10 00:00:00",0.22,"Ordinary Shares"
"AAPL","dividend","2022-05-09 00:00:00","2022-05-12 00:00:00",0.23,"Ordinary Shares"
"AB","dividend","2021-02-22 00:00:00","2021-03-04 00:00:00",0.97,"Unit"
"AB","dividend","2021-05-10 00:00:00","2021-05-27 00:00:00",0.81,"Unit"
"AB","dividend","2021-08-09 00:00:00","2021-08-19 00:00:00",0.91,"Unit"
"AB","dividend","2021-11-08 00:00:00","2021-11-24 00:00:00",0.89,"Unit"
"AB","dividend","2022-02-22 00:00:00","2022-03-17 00:00:00",1.29,"Unit"
"AB","dividend","2022-05-09 00:00:00","2022-05-26 00:00:00",0.9,"Unit"
"ABBV","dividend","2021-01-15 00:00:00","2021-02-16 00:00:00",1.3,"Ordinary Shares"
"ABBV","dividend","2021-04-15 00:00:00","2021-05-14 00:00:00",1.3,"Ordinary Shares"
"ABBV","dividend","2021-07-15 00:00:00","2021-08-16 00:00:00",1.3,"Ordinary Shares"
"ABBV","dividend","2021-10-15 00:00:00","2021-11-15 00:00:00",1.3,"Ordinary Shares"
"ABBV","dividend","2022-01-14 00:00:00","2022-02-15 00:00:00",1.41,"Ordinary Shares"
"ABBV","dividend","2022-04-15 00:00:00","2022-05-16 00:00:00",1.41,"Ordinary Shares"
"ABC","dividend","2021-02-12 00:00:00","2021-03-01 00:00:00",0.44,"Ordinary Shares"
"ABC","dividend","2021-05-17 00:00:00","2021-06-01 00:00:00",0.44,"Ordinary Shares"
"ABC","dividend","2021-08-16 00:00:00","2021-09-07 00:00:00",0.44,"Ordinary Shares"
"ABC","dividend","2021-11-15 00:00:00","2021-11-29 00:00:00",0.46,"Ordinary Shares"
"ABC","dividend","2022-02-14 00:00:00","2022-02-28 00:00:00",0.46,"Ordinary Shares"
"ABC","dividend","2022-05-16 00:00:00","2022-05-31 00:00:00",0.46,"Ordinary Shares"
"ABEV","dividend","2021-12-21 00:00:00","2022-01-06 00:00:00",0.083903,"ADR"
"ABT","dividend","2020-07-15 00:00:00","2020-08-17 00:00:00",0.36,"Ordinary Shares"
"ABT","dividend","2020-10-15 00:00:00","2020-11-16 00:00:00",0.36,"Ordinary Shares"
"ABT","dividend","2021-01-15 00:00:00","2021-02-16 00:00:00",0.45,"Ordinary Shares"
"ABT","dividend","2021-04-15 00:00:00","2021-05-17 00:00:00",0.45,"Ordinary Shares"
"ABT","dividend","2021-07-15 00:00:00","2021-08-16 00:00:00",0.45,"Ordinary Shares"
"ABT","dividend","2021-10-15 00:00:00","2021-11-15 00:00:00",0.45,"Ordinary Shares"
"ABT","dividend","2022-01-14 00:00:00","2022-02-15 00:00:00",0.47,"Ordinary Shares"
"ABT","dividend","2022-04-15 00:00:00","2022-05-16 00:00:00",0.47,"Ordinary Shares"
"AC","dividend","2021-06-15 00:00:00","2021-06-29 00:00:00",0.1,"Ordinary Shares - Class A"
"AC","dividend","2021-12-01 00:00:00","2021-12-15 00:00:00",0.1,"Ordinary Shares - Class A"
"AC","dividend","2022-06-15 00:00:00","2022-06-29 00:00:00",0.1,"Ordinary Shares - Class A"
"ACC","dividend","2021-05-10 00:00:00","2021-05-21 00:00:00",0.47,"Ordinary Shares"
"ACC","dividend","2021-08-16 00:00:00","2021-08-27 00:00:00",0.47,"Ordinary Shares"
"ACC","dividend","2021-11-15 00:00:00","2021-11-26 00:00:00",0.47,"Ordinary Shares"
"ACC","dividend","2022-02-04 00:00:00","2022-02-25 00:00:00",0.47,"Ordinary Shares"
"ACES","dividend","2022-03-25 00:00:00","2022-03-31 00:00:00",0.0635,"ALPS Clean Energy ETF"
"ACI","dividend","2021-04-26 00:00:00","2021-05-10 00:00:00",0.1,"Ordinary Shares - Class A"
"ACI","dividend","2021-07-26 00:00:00","2021-08-10 00:00:00",0.1,"Ordinary Shares - Class A"
"ACI","dividend","2021-10-29 00:00:00","2021-11-12 00:00:00",0.12,"Ordinary Shares - Class A"
"ACI","dividend","2022-01-26 00:00:00","2022-02-10 00:00:00",0.12,"Ordinary Shares - Class A"
"ACI","dividend","2022-04-26 00:00:00","2022-05-10 00:00:00",0.12,"Ordinary Shares - Class A"
"ACM","dividend","2022-01-05 00:00:00","2022-01-21 00:00:00",0.15,"Ordinary Shares"
"ACM","dividend","2022-04-06 00:00:00","2022-04-22 00:00:00",0.15,"Ordinary Shares"
"ACM","dividend","2022-07-06 00:00:00","2022-07-22 00:00:00",0.15,"Ordinary Shares"
"ACN","dividend","2020-10-13 00:00:00","2020-11-13 00:00:00",0.88,"Ordinary Shares - Class A"
"ACN","dividend","2021-01-14 00:00:00","2021-02-12 00:00:00",0.88,"Ordinary Shares - Class A"
"ACN","dividend","2021-04-15 00:00:00","2021-05-14 00:00:00",0.88,"Ordinary Shares - Class A"
"ACN","dividend","2021-07-15 00:00:00","2021-08-13 00:00:00",0.88,"Ordinary Shares - Class A"
"ACN","dividend","2022-01-13 00:00:00","2022-02-15 00:00:00",0.97,"Ordinary Shares - Class A"
"ACN","dividend","2022-04-14 00:00:00","2022-05-13 00:00:00",0.97,"Ordinary Shares - Class A"
"ACWI","dividend","2020-12-15 00:00:00","2020-12-18 00:00:00",0.68587,"BTC iShares MSCI ACWI ETF"
