,id,corporate_action_id,ca_type,ca_sub_type,initiating_symbol,initiating_original_cusip,target_symbol,target_original_cusip,record_date,cash,old_rate,new_rate,ex_date
0,af6d2224-2fa8-43fb-b0ef-35cb295169df,2318034,merger,merger_completion,,,EVA,29414J107,,0,1,1,
1,7f6b6b5c-3f79-40f2-a51f-b2ab6c5540e3,2318262,merger,merger_completion,,,FRT.PRC,313747701,,0,1,0,
2,e2cdde0c-4ee8-4c45-a4a5-a5b4b81e9a8c,2318260,merger,merger_completion,,,FRT,313747206,,0,1,1,
3,c6562a36-534e-4db7-b69e-010f12e3a75d,2319120,merger,merger_completion,,,APO,037612306,,0,1,1,
4,8dc871b1-bace-4526-9e50-3cf3ee414096,2319122,merger,merger_completion,APO,037612306,ATH,G0684D107,,0,1,1.149,
5,fc7f28c4-e34e-4991-9919-8e68ff67c7ce,2319090,merger,merger_completion,WSFS,971795109,BMTC,117673103,,0,1,0.9,
6,b8e6a5e7-9325-48bc-8249-d3013f480d6b,2319618,merger,merger_completion,FCNCA,31946M103,CIT.PRB,125581884,,0,1,0,
7,b2ad0464-e6aa-4f58-92ae-8319aaf0c4f0,2319603,merger,merger_completion,GABC,361334105,,,,13.44,1,0.7739,
8,d9f62f03-a9da-4774-8d75-9ecf1359bd5b,2319616,merger,merger_completion,FCNCA,31946M103,CIT,125581801,,0,1,0.062,
9,4cdbe771-9c39-4713-aad0-877b1ac70e3d,2319804,merger,merger_completion,CNC,15135B101,MGLN,559079207,,95,1,0,
10,dfb32b6e-7e9e-4c8f-8770-640d7832c4b5,2319883,merger,merger_completion,UCBI,90984P105,RBNC,200829109,,0,1,0.9842,
11,d72694cc-08b6-46dc-8c12-9f6f81d8db79,2319774,merger,merger_completion,ENCUF,88674R100,AZZUF,739369106,,0,1,0.375,
12,d092f1bc-5570-4afc-a3c9-b29c2acd9fb1,2321778,merger,merger_completion,LBAI,511637100,FCCY,31986Q105,,0,1,1.3577,
13,6a800df2-c6d8-4bfc-90e3-4ab4018773dc,2321878,merger,merger_completion,CVBF,126600105,SBKK,86723G109,,2.69,1,0.697,
14,8f5bbdef-7964-4758-a265-bcc2313b11bf,2322045,merger,merger_completion,,,AHCCF,00434X301,,4.5,1,0,
15,39dfe61f-7cdc-4013-af9a-92c2c1eda8d0,2322839,merger,merger_completion,CXBMF,13000C106,FIOGF,31810L108,,0.1,1,0.994,
16,d9479807-3e03-4b9e-9cca-338acce5508f,2322958,merger,merger_completion,CHWWF,16550A107,,,,0,1,0,
17,9d4ed71f-b7c7-4b2d-ad46-c9d6d0a7f65e,2323374,merger,merger_completion,,,DCRN,242794105,,0,1,1,
18,557b42d0-9468-4f64-95fb-c93332e62441,2323375,merger,merger_completion,,,DCRNW,242794113,,0,1,0,
19,cf85b51c-9d31-4339-9c2a-eceed5306362,2323071,merger,merger_completion,,,TGP,Y8564M105,,17,1,0,
20,131a3e54-2937-4f0b-8dd1-8e2d751f33e2,2323373,merger,merger_update,,,DCRNW,242794113,,0,1,0,
21,dc9838c1-71c4-4321-b8ea-4d0dd2d16e78,2323372,merger,merger_update,,,DCRN,242794105,,0,1,1,
22,bad4c293-d0a4-4319-ae95-63a8f57403d5,2324225,merger,merger_completion,,,,,,0,1,1.20968,
23,0d4bdd4a-c3f0-4ec1-a882-54564f571603,2324445,merger,merger_completion,,,IGOI,60741U101,,5.5,1,0,
24,24a4a7b0-b00e-4220-ae57-326b90e8f139,2324567,merger,merger_completion,,,,,,7.25,1,0,
25,9c9f5508-501b-4dd5-81d6-3bf08e63d73e,2324444,merger,merger_update,,,IGOI,60741U101,,5.5,1,0,
26,ebc34b38-20d5-49b3-a4bb-b7dfda05612f,2324816,merger,merger_completion,CHWWF,16550A107,,,,1.28,1,0,
27,23b199d4-10ba-4ab3-8511-82c0733b7180,2324818,merger,merger_completion,CHWWF,16550A107,,,,0,1,0.0911,
28,02e4f092-0898-44e2-bc82-15d8d3334817,2325317,merger,merger_completion,,,KOR,221013105,,4.1,1,0,
29,1574d79a-2b81-4e7c-a787-4228e70bc2d9,2325183,merger,merger_completion,,,MRLN,571157106,,23.5,1,0,
30,9a10bbcd-6d61-40c6-a460-3291e117fec5,2325634,merger,merger_completion,,,,,,2.06,1,0,
31,bf0fe216-a38c-4384-b5dd-30c43cb91c78,2325740,merger,merger_completion,CMUAX,638914358,BAMCX,09658W501,,0,1,0.73844,
32,f89e07b0-1864-44f5-93e4-2aa9429fe2f4,2325735,merger,merger_completion,CPDAX,19766C248,BABHX,09658L422,,0,1,0.26374,
33,92afe140-13ac-4bb8-b165-a7bf0b295231,2325744,merger,merger_completion,CPCZX,19766C255,BMBHX,09658L190,,0,1,0.59083,
34,94d50c88-60f3-493c-b585-7830f2b06c92,2325729,merger,merger_completion,LIIAX,53127P507,BATIX,09658W733,,0,1,1.26782,
35,b7b18e26-e2d1-4e75-8c12-2af189922010,2325713,merger,merger_completion,RLGCX,317609568,RLTCX,317609535,,0,1,0.98084,
36,a46cafc9-512c-4349-8bc5-9ba3b51b3fd5,2325743,merger,merger_completion,ABUAX,002453678,BMBYX,09658L166,,0,1,0.57439,
37,858c296a-0ec1-487c-ad99-7a9d661b8793,2325728,merger,merger_completion,CPDHX,19766N400,BDVSX,09658L315,,0,1,0.54008,
38,1d1cf182-943b-4ad7-8477-6f5f466dc2a1,2326028,merger,merger_completion,DOCRF,74052D103,MBCHF,60255X103,,1.22,1,2.285,
39,c1a7e786-9edf-4172-b7e3-2e83da2b0ab1,2325732,merger,merger_completion,COAVX,19765M338,BDAQX,09658W667,,0,1,1.01149,
40,4e635b4e-d911-44aa-849e-107efbb31ccf,2325733,merger,merger_completion,COSVX,19766P884,BDIQX,09658W659,,0,1,1.01825,
41,5b45e7bc-f699-4259-a6e8-4a22e3f3b86e,2325736,merger,merger_completion,CPARX,76931T639,BABRX,09658L414,,0,1,0.25869,
42,a00431c0-5783-4c91-867c-e8dc440005e3,2325723,merger,merger_completion,CLBRX,19765M528,BGRRX,09658L232,,0,1,0.36334,
43,e6ca0d3b-5afd-4c37-bd54-2abb3c2112cf,2325709,merger,merger_completion,RLIIX,317609550,RLFIX,317609543,,0,1,1.04918,
44,994d0144-6c31-44f5-80f6-347940cef8e3,2325710,merger,merger_completion,RLGAX,317609576,RLTSX,057071771,,0,1,1.01136,
45,a4713ad4-82fa-4d0d-8482-d1181146e426,2325730,merger,merger_completion,LIIAX,53127P507,MCIYX,572353423,,0,1,1.26879,
46,58391cab-e6c4-4806-ac07-432c4088c046,2325746,merger,merger_completion,CPDMX,19766N608,BMBTX,09658L174,,0,1,0.59541,
47,ab00be78-4a52-40c5-98dc-51c57c53a000,2325748,merger,merger_completion,CLURX,19766B265,MRSNX,572353357,,0,1,0.65684,
48,1592578f-f9d0-4390-afea-98146826ebed,2325716,merger,merger_completion,RAGIX,31761R278,RLAAX,31761R294,,0,1,1.01351,
49,abb85491-8cb6-4de5-a209-eacf95fcf5a6,2325718,merger,merger_completion,CPDAX,19766C248,BDSHX,09658L281,,0,1,0.26138,
50,1523f1e7-4c95-4905-a134-4525d997d6c2,2325749,merger,merger_completion,CRRYX,19766B240,BSVGX,09658V388,,0,1,0.66312,
51,be377522-b360-45f3-9009-80a97a81aff4,2325712,merger,merger_completion,RLIIX,317609550,RLTIX,057071763,,0,1,1.04704,
52,1601c346-e488-4776-bffa-9072ca886633,2325739,merger,merger_completion,CPGRX,19766M725,MRMIX,572353530,,0,1,0.27335,
53,a9cffeb3-41de-4bd4-a667-619dc5669bde,2325719,merger,merger_completion,CPARX,76931T639,BDSRX,09658L273,,0,1,0.2556,
54,06cd2666-7638-42b3-a338-9cb05220249f,2325734,merger,merger_completion,AXBAX,002453587,BABYX,09658L380,,0,1,0.2542,
55,d423c604-665e-4bb4-bf04-e669866d0194,2325715,merger,merger_completion,RLIIX,317609550,RMIIX,317609519,,0,1,0.83678,
56,24f0e1b2-9ba0-45c2-be53-e6cebc70dba5,2325725,merger,merger_completion,ABDAX,002453769,BDVYX,09658L299,,0,1,0.52183,
57,f614a5dc-b5ae-45a0-bd8e-793103b57c26,2325721,merger,merger_completion,NBIAX,638929703,BGRYX,09658L216,,0,1,0.36139,
58,2e621426-3e8a-4511-84c5-d2f7db2902e9,2325747,merger,merger_completion,COVAX,19765J798,BACVX,09658W709,,0,1,0.67494,
59,5d248758-93e8-4c54-b41e-dda99d4fdab2,2325910,merger,merger_completion,FNB,330621103,HBMD,442496105,,0,1,1.8,
60,79dee1fa-47ed-4c2e-95c0-2c241998c889,2325737,merger,merger_completion,CPDIX,19766N806,BABQX,09658L398,,0,1,0.26965,
61,79859a59-6f8c-497f-962f-8e137dc49820,2325717,merger,merger_completion,AXBAX,002453587,BDSYX,09658L257,,0,1,0.2542,
62,24f61d6d-5248-4e9e-87a7-e2b8a66c8367,2325708,merger,merger_completion,RAGIX,31761R278,RLTAX,317609527,,0,1,1.02205,
