symbol,market_entry_date,market_entry_date_time,vwap
CASH,2021-12-30,2021-12-30 15:00:00+00:00,1.0
CASH,2021-12-31,2021-12-31 15:00:00+00:00,1.0
CASH,2022-01-18,2022-01-18 23:00:00+00:00,1.0
CASH,2022-02-09,2022-02-09 15:00:00+00:00,1.0
CASH,2022-03-01,2022-03-01 15:00:00+00:00,1.0
CASH,2022-03-02,2022-03-02 21:00:00+00:00,1.0
CASH,2022-03-04,2022-03-04 16:00:00+00:00,1.0
CASH,2022-03-11,2022-03-11 21:00:00+00:00,1.0
CASH,2022-03-22,2022-03-22 14:00:00+00:00,1.0
CASH,2022-03-23,2022-03-23 18:00:00+00:00,1.0
CASH,2022-03-29,2022-03-29 19:00:00+00:00,1.0
CASH,2022-04-05,2022-04-05 15:00:00+00:00,1.0
CASH,2022-04-11,2022-04-11 20:00:00+00:00,1.0
CASH,2022-04-18,2022-04-18 14:00:00+00:00,1.0
CASH,2022-04-27,2022-04-27 19:00:00+00:00,1.0
CASH,2022-04-28,2022-04-28 20:00:00+00:00,1.0
CASH,2022-04-22,2022-04-22 16:00:00+00:00,1.0
CASH,2022-05-02,2022-05-02 23:00:00+00:00,1.0
CASH,2022-05-04,2022-05-04 16:00:00+00:00,1.0
CASH,2022-05-09,2022-05-09 20:00:00+00:00,1.0
CASH,2022-05-10,2022-05-10 18:00:00+00:00,1.0
CASH,2022-05-11,2022-05-11 14:00:00+00:00,1.0
CASH,2022-05-18,2022-05-18 20:00:00+00:00,1.0
CASH,2022-05-26,2022-05-26 20:00:00+00:00,1.0
CASH,2022-06-01,2022-06-01 16:00:00+00:00,1.0
CASH,2022-06-24,2022-06-24 14:00:00+00:00,1.0
FB,2021-12-30,2021-12-30 15:00:00+00:00,341.390696
FB,2021-12-31,2021-12-31 15:00:00+00:00,341.390696
FB,2022-01-18,2022-01-18 23:00:00+00:00,318.858302
FB,2022-02-09,2022-02-09 15:00:00+00:00,225.323744
FB,2022-03-01,2022-03-01 15:00:00+00:00,209.690049
FB,2022-03-02,2022-03-02 21:00:00+00:00,208.087121
FB,2022-03-04,2022-03-04 16:00:00+00:00,200.071142
FB,2022-03-11,2022-03-11 21:00:00+00:00,187.607892
FB,2022-03-22,2022-03-22 14:00:00+00:00,217.126867
FB,2022-03-23,2022-03-23 18:00:00+00:00,213.773292
FB,2022-03-29,2022-03-29 19:00:00+00:00,230.269733
FB,2022-04-05,2022-04-05 15:00:00+00:00,232.709705
FB,2022-04-11,2022-04-11 20:00:00+00:00,216.458595
FB,2022-04-18,2022-04-18 14:00:00+00:00,212.093414
FB,2022-04-27,2022-04-27 19:00:00+00:00,174.059268
FB,2022-04-28,2022-04-28 20:00:00+00:00,205.521102
FB,2022-04-22,2022-04-22 16:00:00+00:00,184.477845
FB,2022-05-02,2022-05-02 23:00:00+00:00,211.576921
FB,2022-05-04,2022-05-04 16:00:00+00:00,211.324841
FB,2022-05-09,2022-05-09 20:00:00+00:00,196.216067
FB,2022-05-10,2022-05-10 18:00:00+00:00,200.549932
FB,2022-05-11,2022-05-11 14:00:00+00:00,196.932448
FB,2022-05-18,2022-05-18 20:00:00+00:00,192.235025
FB,2022-05-26,2022-05-26 20:00:00+00:00,191.627328
FB,2022-06-01,2022-06-01 16:00:00+00:00,191.688127
FB,2022-06-24,2022-06-24 14:00:00+00:00,191.688127
ETHUSD,2021-12-30,2021-12-30 15:00:00+00:00,3791.079163
ETHUSD,2021-12-31,2021-12-31 15:00:00+00:00,3791.079163
ETHUSD,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131
ETHUSD,2022-02-09,2022-02-09 15:00:00+00:00,3180.491623
ETHUSD,2022-03-01,2022-03-01 15:00:00+00:00,2952.264758
ETHUSD,2022-03-02,2022-03-02 21:00:00+00:00,2965.067967
ETHUSD,2022-03-04,2022-03-04 16:00:00+00:00,2676.131361
ETHUSD,2022-03-11,2022-03-11 21:00:00+00:00,2565.400515
ETHUSD,2022-03-22,2022-03-22 14:00:00+00:00,3017.97854
ETHUSD,2022-03-23,2022-03-23 18:00:00+00:00,2963.275919
ETHUSD,2022-03-29,2022-03-29 19:00:00+00:00,3431.904269
ETHUSD,2022-04-05,2022-04-05 15:00:00+00:00,3456.265413
ETHUSD,2022-04-11,2022-04-11 20:00:00+00:00,2993.070565
ETHUSD,2022-04-18,2022-04-18 14:00:00+00:00,2932.172552
ETHUSD,2022-04-27,2022-04-27 19:00:00+00:00,2847.0534
ETHUSD,2022-04-28,2022-04-28 20:00:00+00:00,2939.569541
ETHUSD,2022-04-22,2022-04-22 16:00:00+00:00,2950.822158
ETHUSD,2022-05-02,2022-05-02 23:00:00+00:00,2861.750175
ETHUSD,2022-05-04,2022-05-04 16:00:00+00:00,2850.969076
ETHUSD,2022-05-09,2022-05-09 20:00:00+00:00,2300.250181
ETHUSD,2022-05-10,2022-05-10 18:00:00+00:00,2379.346694
ETHUSD,2022-05-11,2022-05-11 14:00:00+00:00,2339.562042
ETHUSD,2022-05-18,2022-05-18 20:00:00+00:00,1960.183501
ETHUSD,2022-05-26,2022-05-26 20:00:00+00:00,1824.610994
ETHUSD,2022-06-01,2022-06-01 16:00:00+00:00,1861.367978
ETHUSD,2022-06-24,2022-06-24 14:00:00+00:00,1861.367978
BTCUSD,2021-12-30,2021-12-30 15:00:00+00:00,47938.475093
BTCUSD,2021-12-31,2021-12-31 15:00:00+00:00,47938.475093
BTCUSD,2022-01-18,2022-01-18 23:00:00+00:00,42453.164185
BTCUSD,2022-02-09,2022-02-09 15:00:00+00:00,44030.288742
