symbol,market_entry_date,market_entry_date_time,entry_price,target_position_value,cash,usd_value,usd_value_prev,positions_usd,dta_rank,dta_rank_prev
FB,2021-12-30,2021-12-30 15:00:00+00:00,341.390696,0,10000.0,0.0,0.0,0.0,0.0,-1.0
FNF,2021-12-30,2021-12-30 15:00:00+00:00,52.364494,0,10000.0,0.0,0.0,0.0,0.0,-1.0
BTCUSD,2021-12-30,2021-12-30 15:00:00+00:00,47938.475093,0,10000.0,0.0,0.0,0.0,0.0,-1.0
UNP,2021-12-30,2021-12-30 15:00:00+00:00,250.292971,0,10000.0,0.0,0.0,0.0,0.0,-1.0
ABNB,2021-12-30,2021-12-30 15:00:00+00:00,167.858896,0,10000.0,0.0,0.0,0.0,0.0,-1.0
V,2021-12-30,2021-12-30 15:00:00+00:00,217.076622,0,10000.0,0.0,0.0,0.0,0.0,-1.0
UBER,2021-12-30,2021-12-30 15:00:00+00:00,42.739807,0,10000.0,0.0,0.0,0.0,0.0,-1.0
PLTR,2021-12-30,2021-12-30 15:00:00+00:00,18.630987,0,10000.0,0.0,0.0,0.0,0.0,-1.0
BKNG,2021-12-30,2021-12-30 15:00:00+00:00,2389.214088,0,10000.0,0.0,0.0,0.0,0.0,-1.0
TLT,2021-12-30,2021-12-30 15:00:00+00:00,147.848263,0,10000.0,0.0,0.0,0.0,0.0,-1.0
FNV,2021-12-30,2021-12-30 15:00:00+00:00,137.915748,0,10000.0,0.0,0.0,0.0,0.0,-1.0
GRUB,2021-12-30,2021-12-30 15:00:00+00:00,10.696562,0,10000.0,0.0,0.0,0.0,0.0,-1.0
WE,2021-12-30,2021-12-30 15:00:00+00:00,8.917039,0,10000.0,0.0,0.0,0.0,0.0,-1.0
MSFT,2021-12-30,2021-12-30 15:00:00+00:00,337.141874,0,10000.0,0.0,0.0,0.0,0.0,-1.0
COIN,2021-12-30,2021-12-30 15:00:00+00:00,256.382755,0,10000.0,0.0,0.0,0.0,0.0,-1.0
GLD,2021-12-30,2021-12-30 15:00:00+00:00,170.203592,0,10000.0,0.0,0.0,0.0,0.0,-1.0
CRM,2021-12-30,2021-12-30 15:00:00+00:00,255.34476,0,10000.0,0.0,0.0,0.0,0.0,-1.0
MELI,2021-12-30,2021-12-30 15:00:00+00:00,1351.570836,0,10000.0,0.0,0.0,0.0,0.0,-1.0
ETHUSD,2021-12-30,2021-12-30 15:00:00+00:00,3791.079163,0,10000.0,0.0,0.0,0.0,0.0,-1.0
ARKK,2021-12-30,2021-12-30 15:00:00+00:00,96.68416,0,10000.0,0.0,0.0,0.0,0.0,-1.0
SKLUSD,2021-12-30,2021-12-30 15:00:00+00:00,0.0,0,10000.0,0.0,0.0,0.0,0.0,-1.0
BKNG,2021-12-31,2021-12-31 15:00:00+00:00,2389.214088,0.017,,9240.0,10000.0,170.0,1.0,0.0
UNP,2021-12-31,2021-12-31 15:00:00+00:00,250.292971,0,,9240.0,10000.0,0.0,1.0,0.0
V,2021-12-31,2021-12-31 15:00:00+00:00,217.076622,0,,9240.0,10000.0,0.0,1.0,0.0
UBER,2021-12-31,2021-12-31 15:00:00+00:00,42.739807,0.044,,9240.0,10000.0,440.0,1.0,0.0
PLTR,2021-12-31,2021-12-31 15:00:00+00:00,18.630987,0,,9240.0,10000.0,0.0,1.0,0.0
SKLUSD,2021-12-31,2021-12-31 15:00:00+00:00,0.0,0.036,,9240.0,10000.0,360.0,1.0,0.0
TLT,2021-12-31,2021-12-31 15:00:00+00:00,147.848263,0,,9240.0,10000.0,0.0,1.0,0.0
FNV,2021-12-31,2021-12-31 15:00:00+00:00,137.915748,0.028,,9240.0,10000.0,280.0,1.0,0.0
BTCUSD,2021-12-31,2021-12-31 15:00:00+00:00,47938.475093,0.093,,9240.0,10000.0,930.0,1.0,0.0
GRUB,2021-12-31,2021-12-31 15:00:00+00:00,10.696562,0.007,,9240.0,10000.0,70.0,1.0,0.0
WE,2021-12-31,2021-12-31 15:00:00+00:00,8.917039,0.020,,9240.0,10000.0,200.0,1.0,0.0
