symbol,market_entry_date,market_entry_date_time,timestamp,vwap
CASH,12/30/2021,2021-12-30 15:00:00+00:00,,
CASH,12/31/2021,2021-12-31 15:00:00+00:00,,
CASH,1/18/2022,2022-01-18 23:00:00+00:00,,
CASH,2/9/2022,2022-02-09 15:00:00+00:00,,
CASH,3/1/2022,2022-03-01 15:00:00+00:00,,
CASH,3/2/2022,2022-03-02 21:00:00+00:00,,
CASH,3/4/2022,2022-03-04 16:00:00+00:00,,
CASH,3/11/2022,2022-03-11 21:00:00+00:00,,
CASH,3/22/2022,2022-03-22 14:00:00+00:00,,
CASH,3/23/2022,2022-03-23 18:00:00+00:00,,
CASH,3/29/2022,2022-03-29 19:00:00+00:00,,
CASH,4/5/2022,2022-04-05 15:00:00+00:00,,
CASH,4/11/2022,2022-04-11 20:00:00+00:00,,
CASH,4/18/2022,2022-04-18 14:00:00+00:00,,
CASH,4/27/2022,2022-04-27 19:00:00+00:00,,
CASH,4/28/2022,2022-04-28 20:00:00+00:00,,
CASH,4/22/2022,2022-04-22 16:00:00+00:00,,
CASH,5/2/2022,2022-05-02 23:00:00+00:00,,
CASH,5/4/2022,2022-05-04 16:00:00+00:00,,
CASH,5/9/2022,2022-05-09 20:00:00+00:00,,
CASH,5/10/2022,2022-05-10 18:00:00+00:00,,
CASH,5/11/2022,2022-05-11 14:00:00+00:00,,
CASH,5/18/2022,2022-05-18 20:00:00+00:00,,
CASH,5/26/2022,2022-05-26 20:00:00+00:00,,
CASH,6/1/2022,2022-06-01 16:00:00+00:00,,
CASH,6/24/2022,2022-06-24 14:00:00+00:00,,
FB,12/30/2021,2021-12-30 15:00:00+00:00,,
FB,12/31/2021,2021-12-31 15:00:00+00:00,2021-12-31 15:00:00+00:00,341.390696
FB,1/18/2022,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,318.858302
FB,2/9/2022,2022-02-09 15:00:00+00:00,2022-02-09 15:00:00+00:00,225.323744
FB,3/1/2022,2022-03-01 15:00:00+00:00,2022-03-01 15:00:00+00:00,209.690049
FB,3/2/2022,2022-03-02 21:00:00+00:00,2022-03-02 21:00:00+00:00,208.087121
FB,3/4/2022,2022-03-04 16:00:00+00:00,2022-03-04 16:00:00+00:00,200.071142
FB,3/11/2022,2022-03-11 21:00:00+00:00,2022-03-11 21:00:00+00:00,187.607892
FB,3/22/2022,2022-03-22 14:00:00+00:00,2022-03-22 14:00:00+00:00,217.126867
FB,3/23/2022,2022-03-23 18:00:00+00:00,2022-03-23 18:00:00+00:00,213.773292
FB,3/29/2022,2022-03-29 19:00:00+00:00,2022-03-29 19:00:00+00:00,230.269733
FB,4/5/2022,2022-04-05 15:00:00+00:00,2022-04-05 15:00:00+00:00,232.709705
FB,4/11/2022,2022-04-11 20:00:00+00:00,2022-04-11 20:00:00+00:00,216.458595
FB,4/18/2022,2022-04-18 14:00:00+00:00,2022-04-18 14:00:00+00:00,212.093414
FB,4/27/2022,2022-04-27 19:00:00+00:00,2022-04-27 19:00:00+00:00,174.059268
FB,4/28/2022,2022-04-28 20:00:00+00:00,2022-04-28 20:00:00+00:00,205.521102
FB,4/22/2022,2022-04-22 16:00:00+00:00,2022-04-22 16:00:00+00:00,184.477845
FB,5/2/2022,2022-05-02 23:00:00+00:00,2022-05-02 23:00:00+00:00,211.576921
FB,5/4/2022,2022-05-04 16:00:00+00:00,2022-05-04 16:00:00+00:00,211.324841
FB,5/9/2022,2022-05-09 20:00:00+00:00,2022-05-09 20:00:00+00:00,196.216067
FB,5/10/2022,2022-05-10 18:00:00+00:00,2022-05-10 18:00:00+00:00,200.549932
FB,5/11/2022,2022-05-11 14:00:00+00:00,2022-05-11 14:00:00+00:00,196.932448
FB,5/18/2022,2022-05-18 20:00:00+00:00,2022-05-18 20:00:00+00:00,192.235025
FB,5/26/2022,2022-05-26 20:00:00+00:00,2022-05-26 20:00:00+00:00,191.627328
FB,6/1/2022,2022-06-01 16:00:00+00:00,2022-06-01 16:00:00+00:00,191.688127
FB,6/24/2022,2022-06-24 14:00:00+00:00,,
ETHUSD,12/30/2021,2021-12-30 15:00:00+00:00,,
ETHUSD,12/31/2021,2021-12-31 15:00:00+00:00,2021-12-31 15:00:00+00:00,3791.079163
ETHUSD,1/18/2022,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,3167.147131
ETHUSD,2/9/2022,2022-02-09 15:00:00+00:00,2022-02-09 15:00:00+00:00,3180.491623
ETHUSD,3/1/2022,2022-03-01 15:00:00+00:00,2022-03-01 15:00:00+00:00,2952.264758
ETHUSD,3/2/2022,2022-03-02 21:00:00+00:00,2022-03-02 21:00:00+00:00,2965.067967
ETHUSD,3/4/2022,2022-03-04 16:00:00+00:00,2022-03-04 16:00:00+00:00,2676.131361
ETHUSD,3/11/2022,2022-03-11 21:00:00+00:00,2022-03-11 21:00:00+00:00,2565.400515
ETHUSD,3/22/2022,2022-03-22 14:00:00+00:00,2022-03-22 14:00:00+00:00,3017.97854
ETHUSD,3/23/2022,2022-03-23 18:00:00+00:00,2022-03-23 18:00:00+00:00,2963.275919
ETHUSD,3/29/2022,2022-03-29 19:00:00+00:00,2022-03-29 19:00:00+00:00,3431.904269
ETHUSD,4/5/2022,2022-04-05 15:00:00+00:00,2022-04-05 15:00:00+00:00,3456.265413
ETHUSD,4/11/2022,2022-04-11 20:00:00+00:00,2022-04-11 20:00:00+00:00,2993.070565
ETHUSD,4/18/2022,2022-04-18 14:00:00+00:00,2022-04-18 14:00:00+00:00,2932.172552
ETHUSD,4/27/2022,2022-04-27 19:00:00+00:00,2022-04-27 19:00:00+00:00,2847.0534
ETHUSD,4/28/2022,2022-04-28 20:00:00+00:00,2022-04-28 20:00:00+00:00,2939.569541
ETHUSD,4/22/2022,2022-04-22 16:00:00+00:00,2022-04-22 16:00:00+00:00,2950.822158
ETHUSD,5/2/2022,2022-05-02 23:00:00+00:00,2022-05-02 23:00:00+00:00,2861.750175
ETHUSD,5/4/2022,2022-05-04 16:00:00+00:00,2022-05-04 16:00:00+00:00,2850.969076
ETHUSD,5/9/2022,2022-05-09 20:00:00+00:00,2022-05-09 20:00:00+00:00,2300.250181
ETHUSD,5/10/2022,2022-05-10 18:00:00+00:00,2022-05-10 18:00:00+00:00,2379.346694
ETHUSD,5/11/2022,2022-05-11 14:00:00+00:00,2022-05-11 14:00:00+00:00,2339.562042
ETHUSD,5/18/2022,2022-05-18 20:00:00+00:00,2022-05-18 20:00:00+00:00,1960.183501
ETHUSD,5/26/2022,2022-05-26 20:00:00+00:00,2022-05-26 20:00:00+00:00,1824.610994
ETHUSD,6/1/2022,2022-06-01 16:00:00+00:00,2022-06-01 16:00:00+00:00,1861.367978
ETHUSD,6/24/2022,2022-06-24 14:00:00+00:00,,
BTCUSD,12/30/2021,2021-12-30 15:00:00+00:00,,
BTCUSD,12/31/2021,2021-12-31 15:00:00+00:00,2021-12-31 15:00:00+00:00,47938.47509
BTCUSD,1/18/2022,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,42453.16419
BTCUSD,2/9/2022,2022-02-09 15:00:00+00:00,2022-02-09 15:00:00+00:00,44030.28874
BTCUSD,3/1/2022,2022-03-01 15:00:00+00:00,2022-03-01 15:00:00+00:00,43694.76316
BTCUSD,3/2/2022,2022-03-02 21:00:00+00:00,2022-03-02 21:00:00+00:00,43874.14353
BTCUSD,3/4/2022,2022-03-04 16:00:00+00:00,2022-03-04 16:00:00+00:00,40599.25875
BTCUSD,3/11/2022,2022-03-11 21:00:00+00:00,2022-03-11 21:00:00+00:00,38878.8889
BTCUSD,3/22/2022,2022-03-22 14:00:00+00:00,2022-03-22 14:00:00+00:00,43014.58401
BTCUSD,3/23/2022,2022-03-23 18:00:00+00:00,2022-03-23 18:00:00+00:00,42148.56433
BTCUSD,3/29/2022,2022-03-29 19:00:00+00:00,2022-03-29 19:00:00+00:00,47747.3949
BTCUSD,4/5/2022,2022-04-05 15:00:00+00:00,2022-04-05 15:00:00+00:00,45733.90019
BTCUSD,4/11/2022,2022-04-11 20:00:00+00:00,2022-04-11 20:00:00+00:00,39810.77335
BTCUSD,4/18/2022,2022-04-18 14:00:00+00:00,2022-04-18 14:00:00+00:00,39447.59063
BTCUSD,4/27/2022,2022-04-27 19:00:00+00:00,2022-04-27 19:00:00+00:00,38796.84422
BTCUSD,4/28/2022,2022-04-28 20:00:00+00:00,2022-04-28 20:00:00+00:00,39979.48675
BTCUSD,4/22/2022,2022-04-22 16:00:00+00:00,2022-04-22 16:00:00+00:00,39437.44104
BTCUSD,5/2/2022,2022-05-02 23:00:00+00:00,2022-05-02 23:00:00+00:00,38618.8472
BTCUSD,5/4/2022,2022-05-04 16:00:00+00:00,2022-05-04 16:00:00+00:00,39170.82434
BTCUSD,5/9/2022,2022-05-09 20:00:00+00:00,2022-05-09 20:00:00+00:00,31228.83344
BTCUSD,5/10/2022,2022-05-10 18:00:00+00:00,2022-05-10 18:00:00+00:00,31585.0862
BTCUSD,5/11/2022,2022-05-11 14:00:00+00:00,2022-05-11 14:00:00+00:00,31412.57453
BTCUSD,5/18/2022,2022-05-18 20:00:00+00:00,2022-05-18 20:00:00+00:00,29163.37091
BTCUSD,5/26/2022,2022-05-26 20:00:00+00:00,2022-05-26 20:00:00+00:00,29445.06856
BTCUSD,6/1/2022,2022-06-01 16:00:00+00:00,2022-06-01 16:00:00+00:00,30458.5617
BTCUSD,6/24/2022,2022-06-24 14:00:00+00:00,,
ABNB,12/30/2021,2021-12-30 15:00:00+00:00,,
ABNB,12/31/2021,2021-12-31 15:00:00+00:00,2021-12-31 15:00:00+00:00,167.858896
ABNB,1/18/2022,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,156.667261
ABNB,2/9/2022,2022-02-09 15:00:00+00:00,2022-02-09 15:00:00+00:00,168.495018
ABNB,3/1/2022,2022-03-01 15:00:00+00:00,2022-03-01 15:00:00+00:00,151.670716
ABNB,3/2/2022,2022-03-02 21:00:00+00:00,2022-03-02 21:00:00+00:00,157.513174
ABNB,3/4/2022,2022-03-04 16:00:00+00:00,2022-03-04 16:00:00+00:00,141.787906
ABNB,3/11/2022,2022-03-11 21:00:00+00:00,2022-03-11 21:00:00+00:00,145.15385
ABNB,3/22/2022,2022-03-22 14:00:00+00:00,2022-03-22 14:00:00+00:00,166.877593
