eth_cust_address,address,symbol,target_position_value,date_time
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,FB,0.155,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,BAM,0.106,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,TSM,0.101,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,BABA,0.092,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,CSCO,0.059,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,IBM,0.058,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,LOW,0.052,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,TFII,0.051,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,GHC,0.050,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,GOLD,0.049,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,JPM,0.048,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,ADT,0.048,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,CRSR,0.047,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,ETHUSDT,0.043,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,BTCUSDT,0.041,2021-12-31 02:42:18
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,DDOG,0.083,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,NOW,0.077,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,CRM,0.051,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,INTC,0.046,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,YELP,0.036,2021-12-31 03:57:49
0x054da9f546044808889c979338608e0bb95df2f1,0x054da9f546044808889c979338608e0bb95df2f1,BLANK,0,1970-01-01 05:00:00
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,WD,0.332,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,ABNB,0.228,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,GDRX,0.198,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,FVRR,0.126,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,LMND,0.112,2021-12-31 06:14:57
0x0693699f6b5867422e46eba37f3e1e82c1000942,0x0693699f6b5867422E46EBa37f3e1E82c1000942,PLTR,1,2022-02-17 02:01:54
0x0693699f6b5867422e46eba37f3e1e82c1000942,0x0693699f6b5867422E46EBa37f3e1E82c1000942,PLTR,0,2022-02-17 14:12:33
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,NIO,0.213,2021-12-31 10:57:35
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,PLTR,0.198,2021-12-31 10:57:35
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,SU,0.144,2021-12-31 10:57:35
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,WTRH,0.057,2021-12-31 10:57:35
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SPY,0.450,2021-12-31 00:21:15
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,COST,0.150,2021-12-31 00:21:15
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,COST,0.25,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FWONK,0.1,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,URA,0,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,URA,0.1,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FILUSDT,0.11,2022-01-13 21:57:38
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FILUSDT,0.2,2022-01-13 21:58:03
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,URA,0,2022-01-13 21:58:03
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,COST,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FILUSDT,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FWONK,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,NFLX,0.25,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SPY,0,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,NFLX,0,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,BTCUSDT,0.26,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,XOM,0.25,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SLV,0.25,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,XLE,0.24,2022-02-09 03:11:49
