,trade_id,address,chain,symbol,target_position_value,entry_date_time,next_market_open,market_entry_date_time,market_entry_date,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
1,1,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,AMZN,470.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,3359.491172,0.1399021387278109,-43.90611579794326,10000.0,470.0,0.0,-470.0,0.1399021387278109,0.0,0.0
16,2,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,BTCUSD,470.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,47938.475093,0.009804233428122323,-45.359672526327806,10000.0,426.7391134881379,0.0,-470.0,0.009804233428122323,0.0,0.0
26,3,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,KWEB,440.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,37.007438,11.889501780696087,-27.719636252582507,10000.0,440.0,0.0,-440.0,11.889501780696087,0.0,0.0
33,4,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,SUI,420.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,210.219347,1.9979131606759297,-69.94762304156527,10000.0,420.0,0.0,-420.0,1.9979131606759297,0.0,0.0
40,5,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,TECK,410.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,28.445375,14.413590961623814,9.77447581548849,10000.0,410.0,0.0,-410.0,14.413590961623814,0.0,0.0
47,6,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,BILL,390.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,253.083537,1.540993162269579,-130.71300983121634,10000.0,390.0,0.0,-390.0,1.540993162269579,0.0,0.0
54,7,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,CRON,380.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,4.08058,93.12401668390277,-11.2875620622559,10000.0,380.0,0.0,-380.0,93.12401668390277,0.0,0.0
62,8,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,TBT,340.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,16.904778,20.112656906822437,18.988681188241593,10000.0,340.0,0.0,-340.0,20.112656906822437,0.0,0.0
69,9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,WDAY,340.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,275.975268,1.2319944553872124,-43.443894399986625,10000.0,340.0,0.0,-340.0,1.2319944553872124,0.0,0.0
76,10,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,WIX,320.0,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,2021-12-31,158.004225,2.025262299156874,-120.64148689694849,10000.0,320.0,0.0,-320.0,2.025262299156874,0.0,0.0
