,user_id,cash,usd_value,positions_usd,inception_return,gross_exposure_usd,long_exposure_usd,short_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,gross_traded_usd,net_traded_usd,gross_traded_percent,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,unrealized_pnl,realized_long_pnl,realized_short_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl,marker
2022-06-08 00:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,10000.0,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIRST
2022-06-09 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2075.203540375312,9972.365978864129,12047.569519239441,0.997236597886413,12047.569519239441,12047.569519239441,0.0,12047.569519239441,1.204756951923944,1.204756951923944,0.0,1.204756951923944,28081.16295889586,12061.162958895864,2.8081162958895862,1.2061162958895864,47.56951923943971,0.0,47.56951923943971,-61.162958895863184,0.0,-61.162958895863184,-13.593439656423477,0.0,-13.593439656423477,
2022-06-10 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2023.2338101886596,9583.283174171978,11606.516984360638,0.9583283174171979,11606.516984360638,11606.516984360638,0.0,11606.516984360638,1.1638679335435544,1.1638679335435544,0.0,1.1638679335435544,,,,,-393.48301563936366,0.0,-393.48301563936366,-9.193228709210736,0.0,-9.193228709210736,-402.6762443485744,0.0,-402.6762443485744,
2022-06-13 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2023.5663965684166,9005.516075040121,11029.082471608537,0.9005516075040122,11029.082471608537,11029.082471608537,0.0,11029.082471608537,1.1508668032823188,1.1508668032823188,0.0,1.1508668032823188,,,,,-970.9175283914633,0.0,-970.9175283914633,-9.525815088967775,0.0,-9.525815088967775,-980.443343480431,0.0,-980.443343480431,
2022-06-14 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2023.6772769189135,9085.849397566077,11109.52667448499,0.9085849397566077,11109.52667448499,11109.52667448499,0.0,11109.52667448499,1.2336357607840365,1.2336357607840365,0.0,1.2336357607840365,,,,,-890.4733255150104,0.0,-890.4733255150104,-9.636695439464674,0.0,-9.636695439464674,-900.1100209544751,0.0,-900.1100209544751,
2022-06-15 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2023.788163345046,9128.190786596246,11151.978949941293,0.9128190786596245,11151.978949941293,11151.978949941293,0.0,11151.978949941293,1.2274008143838144,1.2274008143838144,0.0,1.2274008143838144,,,,,-848.0210500587076,0.0,-848.0210500587076,-9.747581865597217,0.0,-9.747581865597217,-857.7686319243048,0.0,-857.7686319243048,
2022-06-16 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2023.899055847147,8063.975672099134,10087.87472794628,0.8063975672099133,10087.87472794628,10087.87472794628,0.0,10087.87472794628,1.105134080102623,1.105134080102623,0.0,1.105134080102623,,,,,-1912.1252720537216,0.0,-1912.1252720537216,-9.858474367698316,0.0,-9.858474367698316,-1921.98374642142,0.0,-1921.98374642142,
2022-06-17 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2024.0099544255497,7639.2470356100785,9663.256990035628,0.7639247035610077,9663.256990035628,9663.256990035628,0.0,9663.256990035628,1.1983241744478361,1.1983241744478361,0.0,1.1983241744478361,,,,,-2336.7430099643716,0.0,-2336.7430099643716,-9.969372946100899,0.0,-9.969372946100899,-2346.7123829104726,0.0,-2346.7123829104726,
2022-06-21 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2024.4535730456978,7696.0370521347195,9720.490625180417,0.7696037052134719,9720.490625180417,9720.490625180417,0.0,9720.490625180417,1.2724409329700552,1.2724409329700552,0.0,1.2724409329700552,,,,,-2279.509374819584,0.0,-2279.509374819584,-10.412991566248964,0.0,-10.412991566248964,-2289.922366385833,0.0,-2289.922366385833,
2022-06-22 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2024.5645020086044,7756.134041468991,9780.698543477596,0.7756134041468989,9780.698543477596,9780.698543477596,0.0,9780.698543477596,1.2708746692902986,1.2708746692902986,0.0,1.2708746692902986,,,,,-2219.301456522405,0.0,-2219.301456522405,-10.523920529155578,0.0,-10.523920529155578,-2229.8253770515603,0.0,-2229.8253770515603,
2022-06-23 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2024.6754370498104,7808.873515447732,9833.548952497542,0.7808873515447731,9833.548952497542,9833.548952497542,0.0,9833.548952497542,1.2678415432123056,1.2678415432123056,0.0,1.2678415432123056,,,,,-2166.4510475024595,0.0,-2166.4510475024595,-10.634855570361529,0.0,-10.634855570361529,-2177.085903072821,0.0,-2177.085903072821,
2022-06-24 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2024.7863781696487,7858.0973783692025,9882.883756538851,0.7858097378369202,9882.883756538851,9882.883756538851,0.0,9882.883756538851,1.2655965981505852,1.2655965981505852,0.0,1.2655965981505852,,,,,-2117.11624346115,0.0,-2117.11624346115,-10.745796690199874,0.0,-10.745796690199874,-2127.86204015135,0.0,-2127.86204015135,
2022-06-27 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2025.1192197660603,7912.0923126930775,9937.211532459138,0.7912092312693078,9937.211532459138,9937.211532459138,0.0,9937.211532459138,1.2645823860382621,1.2645823860382621,0.0,1.2645823860382621,,,,,-2062.788467540863,0.0,-2062.788467540863,-11.078638286611323,0.0,-11.078638286611323,-2073.8671058274745,0.0,-2073.8671058274745,
2022-06-28 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2025.2301852027597,7850.789231819455,9876.019417022215,0.7850789231819455,9876.019417022215,9876.019417022215,0.0,9876.019417022215,1.2482184265189225,1.2482184265189225,0.0,1.2482184265189225,,,,,-2123.9805829777874,0.0,-2123.9805829777874,-11.189603723310833,0.0,-11.189603723310833,-2135.1701867010984,0.0,-2135.1701867010984,
2022-06-29 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2025.341156719757,7872.712491945021,9898.053648664778,0.787271249194502,9898.053648664778,9898.053648664778,0.0,9898.053648664778,1.2607717971268042,1.2607717971268042,0.0,1.2607717971268042,,,,,-2101.9463513352234,0.0,-2101.9463513352234,-11.300575240308245,0.0,-11.300575240308245,-2113.2469265755317,0.0,-2113.2469265755317,
2022-06-30 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2025.4521343173856,7839.594712405962,9865.046846723348,0.7839594712405961,9865.046846723348,9865.046846723348,0.0,9865.046846723348,1.253068349290894,1.253068349290894,0.0,1.253068349290894,,,,,-2134.953153276654,0.0,-2134.953153276654,-11.411552837936725,0.0,-11.411552837936725,-2146.3647061145907,0.0,-2146.3647061145907,
2022-07-01 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2025.5631179959782,7870.307786049227,9895.870904045205,0.7870307786049225,9895.870904045205,9895.870904045205,0.0,9895.870904045205,1.262293685716334,1.262293685716334,0.0,1.262293685716334,,,,,-2104.1290959547973,0.0,-2104.1290959547973,-11.522536516529458,0.0,-11.522536516529458,-2115.6516324713266,0.0,-2115.6516324713266,
2022-07-05 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2026.007077035539,7347.010589097129,9373.017666132668,0.7347010589097127,9373.017666132668,9373.017666132668,0.0,9373.017666132668,1.1909340677561706,1.1909340677561706,0.0,1.1909340677561706,,,,,-2626.982333867334,0.0,-2626.982333867334,-11.966495556090221,0.0,-11.966495556090221,-2638.9488294234243,0.0,-2638.9488294234243,
2022-07-06 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2026.118091121952,7100.0496317094085,9126.16772283136,0.7100049631709406,9126.16772283136,9126.16772283136,0.0,9126.16772283136,1.2421606872834072,1.2421606872834072,0.0,1.2421606872834072,,,,,-2873.8322771686403,0.0,-2873.8322771686403,-12.077509642503127,0.0,-12.077509642503127,-2885.9097868111435,0.0,-2885.9097868111435,
2022-07-07 23:00:00,0x55E580d9e296f9Ef7F02fe1516A0925629726801,-2026.2291112913285,7505.176812926957,9531.405924218285,0.7505176812926955,9531.405924218285,9531.405924218285,0.0,9531.405924218285,1.342442154439349,1.342442154439349,0.0,1.342442154439349,,,,,-2468.594075781717,0.0,-2468.594075781717,-12.188529811879672,0.0,-12.188529811879672,-2480.7826055935966,0.0,-2480.7826055935966,
