,address,trades,date_time,chain,symbol,target_position_value
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,FB:0.291,2021-12-31 00:23:42,SKL,FB,0.291
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,ETHUSDT:0.254,2021-12-31 00:23:42,SKL,ETHUSDT,0.254
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,BTCUSDT:0.093,2021-12-31 00:23:42,SKL,BTCUSDT,0.093
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,ABNB:0.060,2021-12-31 00:23:42,SKL,ABNB,0.060
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,UBER:0.044,2021-12-31 00:23:42,SKL,UBER,0.044
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKLUSDT:0.036,2021-12-31 00:23:42,SKL,SKLUSDT,0.036
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,FNV:0.028,2021-12-31 00:23:42,SKL,FNV,0.028
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,WE:0.020,2021-12-31 00:23:42,SKL,WE,0.020
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,COIN:0.019,2021-12-31 00:23:42,SKL,COIN,0.019
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,CRM:0.017,2021-12-31 00:23:42,SKL,CRM,0.017
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,BKNG:0.017,2021-12-31 00:23:42,SKL,BKNG,0.017
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,MELI:0.016,2021-12-31 00:23:42,SKL,MELI,0.016
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,GLD:0.011,2021-12-31 00:23:42,SKL,GLD,0.011
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,MSFT:0.011,2021-12-31 00:23:42,SKL,MSFT,0.011
0,0xf920E5d642E4077733026B5156361bE25ac3fC36,GRUB:0.007,2021-12-31 00:23:42,SKL,GRUB,0.007
1,0xf920E5d642E4077733026B5156361bE25ac3fC36,ETHUSDT:0.2,2022-01-18 23:48:26,SKL,ETHUSDT,0.2
2,0xf920E5d642E4077733026B5156361bE25ac3fC36,ETHUSDT:0.175,2022-02-09 14:31:35,SKL,ETHUSDT,0.175
3,0xf920E5d642E4077733026B5156361bE25ac3fC36,ETHUSDT:0.16,2022-03-01 01:11:55,SKL,ETHUSDT,0.16
4,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.158,2022-03-01 01:16:43,SKL,ETHUSDT,0.158
5,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.25,2022-03-02 20:28:42,SKL,FB,0.25
6,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.24,2022-03-02 21:41:08,SKL,FB,0.24
7,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.23,2022-03-02 21:42:33,SKL,FB,0.23
8,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.23,2022-03-02 21:57:17,SKL,FB,0.23
9,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.23,2022-03-02 22:22:12,SKL,FB,0.23
10,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.23,2022-03-02 22:39:26,SKL,FB,0.23
11,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKLUSDT:0,2022-03-04 15:31:30,SKL,SKLUSDT,0
12,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.15,2022-03-11 22:44:40,SKL,ETHUSDT,0.15
13,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,UBER:0,2022-03-22 13:51:57,SKL,UBER,0
