,eth_cust_address,address,chain,symbol,target_position_value,date_time,trade_id,date,delayed_trade_date_time,delayed_trade_date_closing_time,delayed_trade_date,timestamp,vwap,max_time_stamp,date_time_adj,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
4,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,AMZN,470.0,2021-12-31 00:40:22,1,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,3359.153191,2021-12-31 23:00:00,2021-12-31 15:00:00,0.13991621497323967,-44.0245403592253,10000.0,423.1968587704698,0.0,-470.0,0.13991621497323967,0.0,0
22,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,BTCUSD,470.0,2021-12-31 00:40:22,2,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,47938.475093,2021-12-31 23:00:00,2021-12-31 15:00:00,0.009804233428122323,-45.359672526327806,10000.0,426.7391134881379,0.0,-470.0,0.009804233428122323,0.0,0
37,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,KWEB,440.0,2021-12-31 00:40:22,3,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,37.012436,2021-12-31 23:00:00,2021-12-31 15:00:00,11.887896273565998,-27.259873411196185,10000.0,411.5765393015472,0.0,-440.0,11.887896273565998,0.0,0
47,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,SUI,420.0,2021-12-31 00:40:22,4,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,210.246869,2021-12-31 21:00:00,2021-12-31 15:00:00,1.9976516273352922,-72.7282411040328,10000.0,420.0,0.0,-420.0,1.9976516273352922,0.0,0
57,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,TECK,410.0,2021-12-31 00:40:22,5,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,28.441012,2021-12-31 21:00:00,2021-12-31 15:00:00,14.415802081866847,9.767801511422988,10000.0,423.5670573184948,0.0,-410.0,14.415802081866847,0.0,0
65,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,BILL,390.0,2021-12-31 00:40:22,6,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,252.825547,2021-12-31 21:00:00,2021-12-31 15:00:00,1.542565633211109,-128.34594337889442,10000.0,315.7918321046884,0.0,-390.0,1.542565633211109,0.0,0
75,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,CRON,380.0,2021-12-31 00:40:22,7,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,4.066598,2021-12-31 23:00:00,2021-12-31 15:00:00,93.44420077912791,-9.117537558421068,10000.0,347.61242689835586,0.0,-380.0,93.44420077912791,0.0,0
87,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,TBT,340.0,2021-12-31 00:40:22,8,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,16.923166,2021-12-31 21:00:00,2021-12-31 15:00:00,20.090803340226056,18.697285129744696,10000.0,360.57366570770506,0.0,-340.0,20.090803340226056,0.0,0
95,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,WDAY,340.0,2021-12-31 00:40:22,9,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,276.083123,2021-12-31 21:00:00,2021-12-31 15:00:00,1.2315131627948153,-46.7890557004457,10000.0,299.0606564530929,0.0,-340.0,1.2315131627948153,0.0,0
103,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,WIX,320.0,2021-12-31 00:40:22,10,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00,157.711998,2021-12-31 22:00:00,2021-12-31 15:00:00,2.0290149389902474,-120.53298722396504,10000.0,211.01755365498573,0.0,-320.0,2.0290149389902474,0.0,0
